구분명,행사명,행사내용,장소명,담당부서명,행사시작일자,행사종료일자,데이터기준일자
축제,2019 별빛사투리 경연대회,별빛사투리 경연대회,교육문화센터 우석홀,평생학습관,2019-06-21,2019-06-21,2022-11-28
축제,시민회관 영화상영,영화 「악인전」 상영,시민회관 스타홀,문화예술과,2019-06-21,2019-06-22,2022-11-28
행사,파크골프대회,골프대회,영천시파크골프장(조교동),새마을체육과,2019-06-22,2019-06-22,2022-11-28
축제,한여름 밤 시민을 위한 음악회,문화원 내 문화강좌 동아리 등 문화공연,조양각 특설무대(영천문화원 옆),문화예술과,2019-06-22,2019-06-22,2022-11-28
축제,다문화가족과 더불어가는 세상,예절교육,임고서원,새마을체육과,2019-06-22,2019-06-23,2022-11-28
축제,다문화가족과 더불어가는 세상,다도,임고서원,새마을체육과,2019-06-22,2019-06-23,2022-11-28
축제,다문화가족과 더불어가는 세상,자체결의대회,임고서원,새마을체육과,2019-06-22,2019-06-23,2022-11-28
행사,6.25전쟁 제69주년 행사,모범보훈대상자 포상,시민회관,복지정책과,2019-06-25,2019-06-25,2022-11-28
행사,6.25전쟁 제69주년 행사,사진전시회,시민회관,복지정책과,2019-06-25,2019-06-25,2022-11-28
행사,6.25전쟁 제69주년 행사,기념식,시민회관,복지정책과,2019-06-25,2019-06-25,2022-11-28
축제,김덕순 서양화 개인展,서양화 50점 전시,예술창작스튜디오 1전시실,문화예술과,2019-06-25,2019-06-30,2022-11-28
축제,김덕순 서양화 개인展,서양화 50점 전시,예술창작스튜디오 2전시실,문화예술과,2019-06-25,2019-06-30,2022-11-28
축제,영천축협 조합원 한마음대회,시상식 및 외부강사 특강,시민회관 스타홀,문화예술과,2019-06-26,2019-06-26,2022-11-28
행사,호국보훈 나라사랑 골든벨,현충시설 활성화사업+호국역사 미션체험활동 및 보훈 골든벨,영천전투메모리얼파크 체험권,힐링산업과,2019-06-28,2019-06-28,2022-11-28
축제,제1회 푸른동요대회 개최,어린이집 아동 동요대회(15개팀 중 영천시 5개팀 참가),시민회관,가족행복과,2019-06-29,2019-06-29,2022-11-28
행사,3대가 함께하는 가화만사성 개최,식전공연,교육문화센터 우석홀,가족행복과,2019-06-29,2019-06-29,2022-11-28
행사,3대가 함께하는 가화만사성 개최,공연관람,교육문화센터 우석홀,가족행복과,2019-06-29,2019-06-29,2022-11-28
