이름,주소,위도,경도,읍면동,테마
별무리,경상북도 영천시 화북면 별빛로 534,36.1272043702546,128.985664528888,화북면,캠핑장
휘명빌리지,경상북도 영천시 신녕면 신화로 120,36.0459750239407,128.800724617338,신녕면,캠핑장
캠프공존,경상북도 영천시 금호읍 가라골1길 90,35.9209655313392,128.861025869434,금호읍,캠핑장
자호천생태학교,경상북도 영천시 자양면 신방로 626,36.066614034215,129.073592284771,자양면,캠핑장
이유캠핑,경상북도 영천시 자양면 별빛로 829,36.1404956380852,129.010510005447,자양면,캠핑장
드림랜드오토캠핑장,경상북도 영천시 고경면 고도길 38,35.9843920980737,129.001516527091,고경면,캠핑장
치산관광지 캠핑장,경상북도 영천시 신녕면 치산관광길 263,36.0491430346908,128.712808386993,신녕면,캠핑장
늘푸른체험학교,경상북도 영천시 대창면 영지길 100,35.8582118337882,128.919793703627,대창면,캠핑장
영천시공예촌캠핑체험장,경상북도 영천시 자양면 포은로 1625-11 ,36.079487328904,129.017889513346,자양면,캠핑장
은해로운 캠핑장,경상북도 영천시 청통면 대동로 423,35.9907756345061,128.800309911306,청통면,캠핑장
별빛야영장,경상북도 영천시 화북면 별빛로 681-32,36.140254867493,128.996473636029,화북면,캠핑장
채송화글램핑,경상북도 영천시 화북면 천문로 2118,36.1006798419867,128.911819936859,화북면,캠핑장
농업회사법인 주식회사 아우노펠리스,경상북도 영천시 상신기길 150,36.00350293729,128.956447233555,,캠핑장
별밤캠프,경상북도 영천시 화북면 천문로 2149-127,36.1113909054167,128.905507839116,화북면,캠핑장
거동사,경상북도 영천시 자양면 사곡길 77-81(자양면),36.15028704,129.0267561,자양면,사찰
거조사,경상북도 영천시 청통면 거조길 400-67,36.0203294,128.7648349,청통면,사찰
만불사(영천),경상북도 영천시 북안면 고지리 857-5,35.91030283,129.0329207,북안면,사찰
묘각사(영천),경상북도 영천시 자양면 용화길 499,36.11518096,129.0088094,자양면,사찰
봉림사(영천),경상북도 영천시 화북면 천문로 2149-368,36.12617697,128.8978888,화북면,사찰
부귀사(영천),경상북도 영천시 신녕면 칠발골길 446,36.02565658,128.7479089,신녕면,사찰
수도사(영천),경상북도 영천시 신녕면 치산관광길 404 수도사,36.03962708,128.7179625,신녕면,사찰
신녕포교당,경상북도 영천시 신녕면 동산길 11,36.04094682,128.7900248,신녕면,사찰
영지사,경상북도 영천시 대창면 영지길 47길(대창면),35.84436094,128.9512883,대창면,사찰
영천신흥사,경상북도 영천시 금호읍 금호로 360-29(금호읍),35.93729979,128.8986443,금호읍,사찰
영천포교당,경상북도 영천시 서문길 69,35.96600457,128.9260941,,사찰
은해사(영천),경상북도 영천시 청통면 금송로 1038,35.99646983,128.8204084,청통면,사찰
죽림사(영천),경상북도 영천시 금호읍 죽방길 279-57,35.94570813,128.916925,금호읍,사찰
한광사,경상북도 영천시 신녕면 권응수길 126,36.08420378,128.7666311,신녕면,사찰
깊은 울림 황성옛터 공연티켓오픈,시민회관 스타홀,,,,행사/축제
새마을지도자 한마음 전진대회,영천체육관,,,,행사/축제
제16회 경상북도지사기 공무원 탁구 대회 개최,생활체육관,,,,행사/축제
제16회 경상북도지사기 공무원 탁구 대회 개최,영천실내체육관,,,,행사/축제
제3회영천시장기바둑대회,영천문화원 2층(대강당),,,,행사/축제
제11회영천시장기야구대회,영천야구장,,,,행사/축제
영천관광전국사진공모전,최무선과학관,,,,행사/축제
책 먹는 여우 공연,시립도서관 지산홀,,,,행사/축제
노인회부설 노인교실 특강,영천시종합복지센터 1층 강당,,,,행사/축제
찾아가는 음악회,야사종합복지관 내 경로당(1층),,,,행사/축제
찾아가는 음악회,야사종합복지관 내 경로당(2층),,,,행사/축제
찾아가는 음악회,야사종합복지관 내 경로당(3층),,,,행사/축제
줌마들의 브런치,시민회관 스타홀,,,,행사/축제
초람 서예학회전,예술창작스튜디오 1전시실,,,,행사/축제
초람 서예학회전,예술창작스튜디오 2전시실,,,,행사/축제
11월시민행복아카데미,교육문화센터 우석홀,,,,행사/축제
영동고미술동문작품전,시민회관 로비,,,,행사/축제
2018년 영천시 보육인의 밤,교육문화센터 우석홀,,,,행사/축제
깊은 울림 황성옛터,시민회관 스타홀,,,,행사/축제
크리스마스트리 문화축제 점등식,영천시민회관 및 광장,,,,행사/축제
노년기 치매 예방 특강,영천시종합복지센터 1층 강당,,,,행사/축제
노인(지도자)대학 졸업식,교육문화센터 우석홀,,,,행사/축제
예술창작 제10기 릴레이전 Part4,영천예술창작스튜디오,,,,행사/축제
이름나는 새 명소 표지판 만들기 품앗이 프로그램,목재문화체험장,,,,행사/축제
