,ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
17200,KCLANPO23N000017201,장소,관광지,17111081,솔롱고글램핑,,,60520,캠핑장,4723025032103580001,경상북도,영천시,금호읍,약남리,358-1,4723025032,4723025000,472303310027.0,칠백로,446,128.9265385,35.90189124,마마287681,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
17866,KCLANPO23N000017867,장소,관광지,17388142,영천호오토캠핑장,,,60520,캠핑장,4723037024100680005,경상북도,영천시,임고면,삼매리,68-5,4723037024,4723037000,472303309040.0,신방로,19,129.0113273,36.05687068,마마361854,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
18448,KCLANPO23N000018449,장소,관광지,17512944,전금강성장군황보능장묘,,,60601,궁궐/종묘,4723038022103800000,경상북도,영천시,고경면,창하리,380,4723038022,4723038000,472303018037.0,호국로,495,128.9851584,35.98585216,마마338775,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
18815,KCLANPO23N000018816,장소,관광지,17617037,피노키오농장,,,60516,관광농원/허브마을,4723012700104070000,경상북도,영천시,매산동,,407,4723012700,4723052000,472304730678.0,하명길,85,128.9197875,36.01164173,마마279803,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
19519,KCLANPO23N000019520,장소,관광지,17871023,매호실향비,,,60606,비/탑/문/각,4723037033200120000,경상북도,영천시,임고면,매호리,산12,4723037033,4723037000,,,,128.9678025,36.01023741,마마322802,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
20327,KCLANPO23N000020328,장소,관광지,17942328,경북영어한마당축제,,,60523,지역축제,4723010700103360000,경상북도,영천시,교촌동,,336,4723010700,4723053500,,,,128.9225875,35.97095518,마마282758,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
20401,KCLANPO23N000020402,장소,관광지,17990368,영천전통문화체험관,,,60513,일반관광지,4723010700102880004,경상북도,영천시,교촌동,,288-4,4723010700,4723053500,472303310022.0,운동장로,54,128.924322,35.96764399,마마284754,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
20570,KCLANPO23N000020571,장소,관광지,18102225,포은정몽주선생생가,,,60608,고택/생가/민속마을,4723037031101830000,경상북도,영천시,임고면,우항리,183,4723037031,4723037000,472303310042.0,효자로,342,128.989824,36.01114726,마마342803,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
20604,KCLANPO23N000020605,장소,관광지,18114279,자연체험학습장,,,60513,일반관광지,4723039025103070001,경상북도,영천시,북안면,명주리,307-1,4723039025,4723039000,472303310039.0,운북로,1447,128.994751,35.87375968,마마349651,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
20673,KCLANPO23N000020674,장소,관광지,18142215,스텔라캠핑장,,,60520,캠핑장,4723036021126810000,경상북도,영천시,자양면,보현리,2681,4723036021,4723036000,472303310010.0,별빛로,710-7,128.9989695,36.13690498,마마348943,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
20717,KCLANPO23N000020718,장소,관광지,18156551,보현산댐전망대,,,60513,일반관광지,4723034023106110002,경상북도,영천시,화북면,입석리,611-2,4723034023,4723034000,472303018036.0,천문로,2610,128.9526571,36.12695189,마마307931,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
